H,0.3700,-0.2400
He,0.0000,0.0000
Li,0.6800,0.9000
Be,0.3500,0.5900
B,0.8300,0.2500
C,0.7700,0.3000
N,0.7500,1.3200
O,0.7300,1.2600
F,0.7100,1.1900
Ne,0.0000,0.0000
Na,0.9700,1.1600
Mg,1.1000,0.8600
Al,1.3500,0.6750
Si,1.2000,0.4000
P,1.0500,0.3100
S,1.0200,1.7000
Cl,0.9900,1.6700
Ar,0.0000,0.0000
K,1.3300,1.5200
Ca,0.9900,1.1400
Sc,1.4400,0.8850
Ti,1.4700,0.7450
V,1.3300,0.6800
Cr,1.3500,0.7550
Mn,1.3500,0.6700
Fe,1.3400,0.6900
Co,1.3300,0.7900
Ni,1.5000,0.8300
Cu,1.5200,0.8700
Zn,1.4500,0.8800
Ga,1.2200,0.7600
Ge,1.1700,0.6700
As,1.2100,0.7200
Se,1.2200,1.8400
Br,1.2100,1.8200
Kr,1.8900,0.0000
Rb,1.4700,1.6600
Sr,1.1200,1.3200
Y,1.7800,1.0400
Zr,1.5600,0.8600
Nb,1.4800,0.7800
Mo,1.4700,0.7300
Tc,1.3500,0.7000
Ru,1.4000,0.7050
Rh,1.4500,0.6900
Pd,1.5000,0.7550
Ag,1.5900,1.2900
Cd,1.6900,1.0900
In,1.6300,0.9400
Sn,1.4600,0.8300
Sb,1.4600,0.7400
Te,1.4700,2.0700
I,1.4000,2.0600
Xe,0.0000,0.0000
Cs,1.6700,1.8100
Ba,1.3400,1.4900
La,1.8700,1.1720
Ce,1.8300,1.0100
Pr,1.8200,1.1300
Nd,1.8100,1.1230
Pm,1.8000,1.1100
Sm,1.8000,1.0980
Eu,1.9900,1.0870
Gd,1.7900,1.0780
Tb,1.7600,1.0630
Dy,1.7500,1.0520
Ho,1.7400,1.0410
Er,1.7300,1.0300
Tm,1.7200,1.0200
Yb,1.9400,1.0080
Lu,1.7200,1.0010
Hf,1.5700,0.8500
Ta,1.4300,0.7800
W,1.3700,0.6500
Re,1.3500,0.6700
Os,1.3700,0.5300
Ir,1.3200,0.7100
Pt,1.5000,0.7100
Au,1.5000,0.7100
Hg,1.7000,1.1600
Tl,1.5500,1.0250
Pb,1.5400,1.3300
Bi,1.5400,1.1700
Po,1.6800,0.8100
At,0.0000,0.7600
Rn,0.0000,0.0000
Fr,0.0000,1.9400
Ra,1.9000,1.6200
Ac,1.8800,1.2600
Th,1.7900,0.0000
Pa,1.6100,0.9200
U,1.5800,1.0300
Np,1.5500,0.8500
Pu,1.5300,0.8500
Am,1.5100,1.3500
Cm,0.0000,0.9900
Bk,0.0000,0.9700
Cf,0.0000,0.9610
Es,0.0000,0.0000
Fm,0.0000,0.0000
Md,0.0000,0.0000
No,0.0000,1.2400
Lr,0.0000,0.0000
Rf,0.0000,0.0000
Ha,0.0000,0.0000
D,0.3700,-0.2400
X,0.0000,0.0000
